etf,etf_name,aum_$m,n_asx,n_thin_asx
VAS.AX,Vanguard Australian Shares Index ETF,25517.9,303,37
ISO.AX,iShares S&P/ASX Small Ordinaries ETF,134.6,186,33
QOZ.AX,BetaShares - FTSE RAFI Australia 200 ETF,1240.4,200,16
VSO.AX,Vanguard MSCI Australian Small Companies Index ETF,1154.5,193,14
MVS.AX,VanEck - Small Companies Masters ETF,214.8,56,12
AUMF.AX,iShares Edge MSCI Australia Multifactor ETF,145.4,127,11
VAP.AX,Vanguard Australian Property Securities Index ETF,3041.9,28,8
URNM.AX,BetaShares - Global Uranium ETF,349.5,13,6
BANK.AX,Global X - Australian Bank Credit ETF,191.3,137,5
FAIR.AX,BetaShares - Australian Sustainability Leaders ETF,1098.9,78,5
BHYB.AX,BetaShares - Australian Major Bank Hybrids Index ETF,664.7,18,5
IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,400.7,46,2
HVST.AX,BetaShares - Australian Dividend Harvester Active ETF,287.9,45,2
FLOT.AX,VanEck - Australian Floating Rate ETF,1200.0,238,1
A200.AX,BetaShares - Australia 200 ETF,10101.4,201,1
EX20.AX,BetaShares - Australian Ex-20 Portfolio Diversifier ETF,674.1,181,1
PLUS.AX,VanEck - Australian Corporate Bond Plus ETF,358.5,173,1
MVOL.AX,iShares Edge MSCI Australia Minimum Volatility ETF,30.9,95,1
VHY.AX,Vanguard Australian Shares High Yield ETF,7500.2,73,1
QRE.AX,BetaShares - Australian Resources Sector ETF,586.5,55,1
VDCO.AX,Vanguard Diversified Conservative Index ETF,298.3,9,1
VDHG.AX,Vanguard Diversified High Growth Index ETF,3888.8,9,1
VDGR.AX,Vanguard Diversified Growth Index ETF,1485.1,9,1
VDBA.AX,Vanguard Diversified Balanced Index ETF,913.0,9,1
GEAR.AX,BetaShares - Geared Australian Equities Complex ETF,590.9,201,0
IOZ.AX,iShares Core S&P/ASX 200 ETF,8877.1,189,0
VEU.AX,Vanguard All-World ex-U.S. Shares Index ETF,5874.5,106,0
GRNV.AX,VanEck - MSCI Australian Sustainable Equity ETF,239.3,84,0
MVW.AX,VanEck - Australian Equal Weight ETF,3300.0,75,0
ZYAU.AX,Global X - S&P/ASX 200 High Dividend ETF,95.5,49,0
MVE.AX,VanEck - S&P/ASX MidCap ETF,490.9,47,0
IVE.AX,iShares MSCI EAFE ETF,615.0,47,0
MVR.AX,VanEck - Australian Resources ETF,721.3,34,0
QFN.AX,BetaShares - Australian Financials Sector ETF,131.0,29,0
GDX.AX,VanEck - Gold Miners ETF,1400.0,22,0
MONY.AX,VanEck - Cash Plus Active ETF,106.5,21,0
ILC.AX,iShares S&P/ASX 20 ETF,773.6,20,0
WDMF.AX,iShares World Equity Factor ETF,166.2,19,0
VLC.AX,Vanguard MSCI Australian Large Companies Index ETF,313.3,15,0
MVA.AX,VanEck - Australian Property ETF,837.5,12,0
MVB.AX,VanEck - Australian Banks ETF,293.1,7,0
VMIN.AX,Vanguard Global Minimum Volatility Active ETF,14.1,6,0
VBLD.AX,Vanguard Global Infrastructure Index ETF,603.7,6,0
VVLU.AX,Vanguard Global Value Equity Active ETF,1185.9,5,0
IFRA.AX,VanEck - FTSE Global Infrastructure (AUD Hedged) ETF,2000.0,5,0
GLIN.AX,iShares Core FTSE Global Infrastructure (AUD Hedged) ETF,1754.7,5,0
ARMR.AX,BetaShares - Global Defence ETF,234.0,4,0
BEAR.AX,BetaShares - Australian Equities Bear Complex ETF,31.2,4,0
IXJ.AX,iShares Global Healthcare ETF,1354.4,4,0
ACDC.AX,Global X - Battery Tech & Lithium ETF,824.1,4,0
INCM.AX,BetaShares - S&P Global High Dividend Aristocrats ETF,94.1,2,0
RBTZ.AX,BetaShares - Global Robotics and Artificial Intelligence ETF,319.9,2,0
HEUR.AX,BetaShares - Europe Currency Hedged ETF,87.3,2,0
MNRS.AX,BetaShares - Global Gold Miners Currency Hedged ETF,235.1,2,0
F100.AX,BetaShares - FTSE 100 ETF,419.5,2,0
GNDQ.AX,BetaShares - Wealth Builder Nasdaq 100 Geared (30-40% LVR) Complex ETF,83.9,2,0
QLTY.AX,BetaShares - Global Quality Leaders ETF,1014.0,2,0
FOOD.AX,BetaShares - Global Agriculture Companies Currency Hedged ETF,76.4,2,0
ETHI.AX,BetaShares - Global Sustainability Leaders ETF,3811.2,2,0
IXI.AX,iShares Global Consumer Staples ETF,132.9,2,0
HACK.AX,BetaShares - Global Cybersecurity ETF,1488.4,2,0
DRUG.AX,BetaShares - Global Healthcare Currency Hedged ETF,193.1,2,0
BNKS.AX,BetaShares - Global Banks Currency Hedged ETF,175.0,2,0
IIND.AX,BetaShares - India Quality ETF,184.3,2,0
FUEL.AX,Betashares Global Energy Companies Currency Hedged ETF,248.3,2,0
POU.AX,BetaShares British Pound ETF,6.6,2,0
EEU.AX,BetaShares Euro ETF,3.9,1,0
HGEN.AX,Global X - Hydrogen ETF,55.5,1,0
VGAD.AX,Vanguard MSCI Index International Shares (Hedged) ETF,7251.8,1,0
IOO.AX,iShares Global 100 ETF,5651.0,1,0
UMAX.AX,BetaShares - S&P 500 Yield Maximiser Complex ETF,291.2,1,0
