asx_ticker,company,n_etfs,etfs,etf_shares,etf_value_usd,inflow5_usd,last_close_aud,adv_dollars_63d,shares_outstanding,etf_pct_float,days_to_exit_20pct_adv,inflow5_buy_days,forced_flow_score
EVN.AX,EVOLUTION MINING LTD,11,"ACWX,EPP,EWA,FLAU,GDX,GDXJ,GOAU,IXUS,MXI,VEU,VPL",122295080.0,1117793575.2,54619976.41332197,12.96,107232135.2022222,2031089999.9999998,0.06021155143297442,72.26019213057599,0.5093620145707037,0.9631965740681336
GMD.AX,GENESIS MINERALS LTD,9,"FLAU,GDX,GDXJ,GOAU,GOEX,IXUS,RING,VEU,VPL",66352960.0,279483807.86,13753007.352352755,6.16,30593515.24984127,1142328193.0194805,0.058085723879939696,64.68281801611293,0.4495399511968181,0.9471570325698766
DYL.AX,DEEP YELLOW LTD,6,"IXUS,NLR,URA,URNJ,URNM,VPL",214430684.0,255197496.39,12820348.304128796,1.57,10627618.055714285,975534715.2866242,0.21980835806237567,174.4227272994188,1.2063237723560754,0.943067727379654
PDN.AX,PALADIN ENERGY LTD,6,"IXUS,NLR,URA,URNJ,URNM,VPL",73872227.0,528327944.43999994,26613480.522535942,9.83,35266690.94730158,365647779.0437436,0.2020311109045802,119.15120702076106,0.7546350340128031,0.9361493552319241
RMS.AX,RAMELIUS RESOURCES LTD,8,"FLAU,GDX,GDXJ,GOAU,GOEX,IXUS,VEU,VPL",127726615.0,289679606.46,14156133.319897166,3.19,33827718.40174603,1896464199.0595613,0.06734986880497845,65.71616496594578,0.418477331275363,0.934284981073972
TCL.AX,TRANSURBAN GROUP STAPLED UNITS,9,"ACWX,EPP,EWA,EXI,FLAU,IGF,IXUS,VEU,VPL",77236410.0,817715396.49,40901004.147090025,15.12,89973151.28777777,3120180000.0,0.024753831509720593,61.79512436345823,0.4545912148421786,0.9234473172087851
KCN.AX,Kingsgate Consolidated Ltd,7,"GDXJ,GOAU,IXUS,SGDJ,SIL,SLVP,VPL",19415798.0,77069929.83,3826461.887646564,5.86,8905873.094285715,267238281.05802047,0.07265350578940676,61.20145474298547,0.4296560086962996,0.9183548256025319
NST.AX,NORTHERN STAR RESOURCES LTD,10,"ACWX,EPP,EWA,FLAU,GDX,GNR,IXUS,MXI,VEU,VPL",61653403.0,917263941.8000001,44931217.54032678,21.2,157286095.86063495,1427259911.981132,0.04319703964390127,40.88284132891626,0.2856655402022222,0.9179033810226471
PRU.AX,Perseus Mining Ltd,6,"GDX,GDXJ,GOAU,GOEX,IXUS,VPL",69323846.0,266519042.2,13023552.006234257,5.43,21693084.00428572,1346377055.9852672,0.05148917659568211,84.57737931250628,0.6003550257612659,0.9170079767327474
WGX.AX,Westgold Resources Ltd,7,"GDX,GDXJ,GOAU,GOEX,IXUS,RING,VPL",56553327.0,207928667.52,10212818.866231235,5.13,23925615.009523813,944831563.9376218,0.05985545906649418,65.63628295412981,0.4268571095107034,0.9153108359530377
SFR.AX,Sandfire Resources Ltd,7,"BATT,COPX,FLAU,IXUS,PICK,VEU,VPL",22652738.0,336873909.31000006,16838138.36464566,20.71,32575993.627460316,466951000.0,0.048512023745532186,62.79806472536887,0.5168879438400845,0.9138100126173521
BRE.AX,BRAZILIAN RARE EARTHS LTD,4,"PICK,VEU,VNQI,VWO",238368700.4,47900764.58,2304179.651752141,5.0,2979195.540952381,280153716.0,0.8508496828219834,2110.1244423648436,0.7734234359841807,0.9105128205128205
CMM.AX,Capricorn Metals Ltd,6,"GDX,GDXJ,GOAU,GOEX,IXUS,VPL",24303107.0,226624182.27,11082469.17400096,13.67,29176593.389047623,456787789.0270666,0.05320437100948848,52.14750753191458,0.379841094751011,0.8946908748743612
EMR.AX,Emerald Resources Nl,7,"GDXJ,GOAU,GOEX,IXUS,RING,SGDJ,VPL",21534837.0,92776053.51,4602438.001184423,6.1,11765255.077936508,660775843.9344263,0.03259023040517967,53.245659992860254,0.39118896876408726,0.8946168815893586
GGP.AX,Greatland Resources Ltd,5,"GDX,GDXJ,GOEX,IXUS,VPL",33505991.0,330597789.43,16132947.87536775,13.67,33973144.25619047,672906504.9743965,0.04979293668928773,64.3871948718487,0.4748735575874187,0.8933507623874597
BHP.AX,BHP GROUP LTD,13,"ACWX,BATT,COPX,EPP,EWA,FLAU,GNR,IXUS,MXI,PICK,URA,VEU,VPL",63103264.0,2799394150.63,139572740.54919994,60.34,538625624.3819048,5080688478.007955,0.012420219085099592,33.87435824648444,0.25912755396545684,0.8899223177434187
LYC.AX,LYNAS RARE EARTHS LTD,10,"ACWX,EPP,EWA,FLAU,IXUS,MXI,PICK,REMX,VEU,VPL",23893321.0,309152525.43,15373618.770477818,18.62,76952707.02301589,1006502577.9806659,0.02373895658363527,29.84016810081053,0.19978009046361037,0.8880021813049336
VUL.AX,VULCAN ENERGY RESOURCES LTD,5,"IXUS,LIT,PICK,REMX,VPL",22374636.0,54349603.59,2702614.044053952,3.3,8268614.75984127,237096773.93939394,0.09436921316238299,48.077747579384805,0.32685209343406796,0.8878861658219457
BOE.AX,BOSS ENERGY LTD,4,"URA,URNJ,URNM,VPL",82170102.0,69840898.33,3491802.6533264103,1.16,8153659.645238096,415175000.0,0.19791678689709158,72.14244846721427,0.4282497437044352,0.8859209597741707
QUB.AX,QUBE HOLDINGS LTD,5,"FLAU,IGF,IXUS,VEU,VPL",80698457.0,289261594.92,14478992.790404705,5.12,33377863.255079366,1770412011.9257085,0.04558173829391434,60.18269713131116,0.4337902842897328,0.885667864245846
ILU.AX,ILUKA RESOURCES LTD,6,"FLAU,IXUS,PICK,REMX,VEU,VPL",21879454.0,120138566.46000001,5970884.60953434,8.13,19712918.896349207,431125023.9852398,0.05074967302466088,42.30382847048239,0.30289195836138383,0.8839357584311713
BMN.AX,BANNERMAN ENERGY LTD,3,"URA,URNJ,URNM",38572876.0,95331295.12,4766564.745307082,3.42,3763980.4498412693,207732000.0,0.18568576820133634,192.97556455622637,1.2663627797291277,0.8805934967173499
SLX.AX,Silex Systems Ltd,3,"NLR,URA,VPL",32671393.0,131657305.17999999,6656666.170372397,5.7,5217653.846349206,235811655.0877193,0.1385486777057165,178.45571806799225,1.2757968171901761,0.8798289707234661
GMG.AX,GOODMAN GROUP UNITS,9,"ACWX,EPP,EWA,FLAU,IXUS,REET,VEU,VNQI,VPL",26819135.0,601373895.17,29921422.932776783,31.55,130833349.46539682,2044790000.0,0.01311583830124365,30.560846851185445,0.22869874580938163,0.8781285686790274
RSG.AX,Resolute Mining Ltd,7,"GDXJ,GOAU,GOEX,IXUS,RING,SGDJ,VPL",67464812.0,54655039.56,2717097.8752754647,1.15,10397501.137857137,2137417613.1004367,0.03156370172422166,41.63346983689244,0.26132220032970754,0.8777032142169757
PEN.AX,PENINSULA ENERGY LTD,3,"URA,URNJ,URNM",75517442.0,27831519.02,1391575.9687880718,0.465,1566297.4956658732,159850533.3333333,0.47242533650184887,118.37073045024037,0.8884493352244538,0.8759545882252304
LTR.AX,Liontown Ltd,7,"BATT,ILIT,IXUS,LIT,PICK,REMX,VPL",135693700.0,199326063.76,9914880.112667624,1.9,46805189.040476196,3179110000.0,0.04268292069164011,30.77293213913795,0.2118329252787214,0.8715211394110476
AGE.AX,ALLIGATOR ENERGY LTD,3,"URA,URNJ,URNM",407957332.0,14961113.98,748055.7066269018,0.042,716961.0918412699,4437034142.857142,0.09194369907131338,115.88133265401423,1.0433700170615618,0.8698430850495071
OBM.AX,Ora Banda Mining Ltd,6,"GDXJ,GOEX,IXUS,RING,SGDJ,VPL",57625215.0,53466548.93,2639739.7680310556,1.3,9099257.035396826,1927440000.0,0.029897280849209312,41.17350382807618,0.290104978655099,0.8693956502213384
SCG.AX,SCENTRE GROUP,9,"ACWX,EPP,EWA,FLAU,IXUS,REET,VEU,VNQI,VPL",69375343.0,188096664.51,9358422.311973536,3.85,48315662.38603175,5222977090.909091,0.013282720140731997,26.182740849814337,0.19369334600448515,0.8688883898975643
CYL.AX,Catalyst Metals Ltd,5,"GDXJ,GOEX,RING,SGDJ,VPL",9888106.0,43675892.03,2158547.564038654,6.1,7549841.903968253,260945000.00000003,0.03789344881105213,38.268136118902504,0.28590632644957836,0.8595375419687347
ALX.AX,ATLAS ARTERIA,5,"FLAU,IGF,IXUS,VEU,VPL",44634849.0,159514306.73000002,7984615.470676269,5.1,27584180.757301588,1451029343.9215686,0.030760817613356698,39.480377184897,0.289463571201502,0.8572533735377772
BGL.AX,Bellevue Gold Ltd,6,"GDXJ,GOAU,GOEX,IXUS,SGDJ,VPL",43191341.0,46825689.239999995,2313443.289773408,1.47,11304483.243174601,1488454608.8737202,0.029017573490320882,29.532151291529726,0.20464830103315107,0.8509388165351468
VCX.AX,VICINITY CENTRES,9,"ACWX,EPP,EWA,FLAU,IXUS,REET,VEU,VNQI,VPL",51643982.0,93424820.78,4648369.474644306,2.57,28753598.252380952,4640336267.05653,0.011129361974613738,22.453708511127786,0.16166218341940547,0.8504550800881077
VAU.AX,Vault Minerals Ltd,6,"GDX,GDXJ,GOEX,IXUS,SGDJ,VPL",32665956.0,111796284.9,5476878.7099079685,4.87,29672135.955079366,1034565895.0718685,0.03157455330356776,24.74107252713948,0.1845798603174174,0.843992215735335
PLS.AX,PLS GROUP LTD,13,"ACWX,BATT,EPP,EWA,FLAU,ILIT,IXUS,LIT,MXI,PICK,REMX,VEU,VPL",98604822.0,431919482.01000005,21498068.177708585,5.53,187181775.58269843,3220999524.954792,0.030613112866380805,15.717750148693831,0.11485128886498121,0.8436508522058981
