asx_ticker,company,n_etfs,etfs,etf_shares,etf_value_usd,last_close_aud,adv_shares_63d,adv_dollars_63d_aud,shares_outstanding,etf_pct_of_shares_out,days_to_exit_at_100pct_adv,days_to_exit_at_20pct_adv
BKY.AX,Berkeley Energia Ltd.,1,URNJ,12289834,4741381.78,0.55,100211.41269841269,47044.113095238084,446293143.6363636,0.027537581912783465,122.63906544244003,613.1953272122001
BMN.AX,Bannerman Energy Ltd.,3,"URA,URNJ,URNM",38572876,95331295.12,3.42,999423.8412698413,3763980.4498412693,207732000.0,0.18568576820133634,38.59511291124527,192.97556455622637
SLX.AX,SILEX SYSTEMS LTD,2,"NLR,URA",32416641,130532020.88,5.7,915392.1587301587,5217653.846349206,235811655.0877193,0.13746835790597955,35.412845402749234,177.06422701374618
DYL.AX,Deep Yellow Ltd.,4,"NLR,URA,URNJ,URNM",211575964,252048989.54,1.57,6146867.650793651,10627618.055714285,975534715.2866242,0.21688204497964622,34.42012680599727,172.10063402998634
AEU.AX,Atomic Eagle Ltd.,2,"URA,URNJ",26866701,10192720.96,0.485,913560.6984126985,412113.1946825397,391739501.03092784,0.06858307862570866,29.408774968845083,147.0438748442254
EL8.AX,Elevate Uranium Ltd.,2,"URA,URNJ",42090625,7986712.66,0.245,1510027.619047619,415048.7034126984,370566000.0,0.11358469206565092,27.874076254675888,139.37038127337942
PEN.AX,Peninsula Energy Ltd.,3,"URA,URNJ,URNM",75517442,27831519.02,0.465,3189869.73015873,1566297.4956658732,159850533.3333333,0.47242533650184887,23.674146090048072,118.37073045024037
PDN.AX,Paladin Energy Ltd.,4,"NLR,URA,URNJ,URNM",72740932,519861887.53999996,9.83,3099936.1587301586,35266690.94730158,365647779.0437436,0.19893716349169394,23.46530001759688,117.3265000879844
AGE.AX,Alligator Energy Ltd.,3,"URA,URNJ,URNM",407957332,14961113.98,0.042,17602374.888888888,716961.0918412699,4437034142.857142,0.09194369907131338,23.176266530802845,115.88133265401423
AEE.AX,Aura Energy Ltd.,2,"URA,URNJ",75208212,5233004.3,0.105,3472006.206349206,394593.90049206355,1019440000.0,0.07377404457349133,21.66131266196122,108.30656330980608
PRU.AX,Perseus Mining Ltd,3,"GDX,GDXJ,GOAU",65092146,250374906.49,5.43,4098249.8253968256,21693084.00428572,1346377055.9852672,0.048346149179113965,15.882913139317283,79.41456569658641
BOE.AX,Boss Energy Ltd.,3,"URA,URNJ,URNM",81741305,69444320.95,1.16,5694989.825396826,8153659.645238096,415175000.0,0.19688397663635815,14.353195968055006,71.76597984027504
ASN.AX,ANSON RESOURCES LTD,1,URA,72823731,2613181.46,0.048,5237983.777777778,316645.6246984126,1619523354.1666667,0.044966150573031896,13.903008120978864,69.51504060489432
EVN.AX,Evolution Mining Ltd,3,"GDX,GDXJ,GOAU",107691476,989213094.47,12.96,8462133.603174603,107232135.2022222,2031089999.9999998,0.053021518494995305,12.726279334516667,63.63139667258333
WGX.AX,Westgold Resources Ltd,4,"GDX,GDXJ,GOAU,RING",53570007,197150244.76,5.13,4308084.222222222,23925615.009523813,944831563.9376218,0.05669794389250179,12.434763165416296,62.173815827081484
GGP.AX,Greatland Resources Ltd,2,"GDX,GDXJ",31913508,315123169.08000004,13.67,2601914.1746031744,33973144.25619047,672906504.9743965,0.04742636274739874,12.26539611164047,61.32698055820235
RMS.AX,Ramelius Resources Ltd,3,"GDX,GDXJ,GOAU",117344171,265896756.92000002,3.19,9718051.492063493,33827718.40174603,1896464199.0595613,0.06187523658932759,12.074866149436671,60.37433074718335
GMD.AX,Genesis Minerals Ltd,4,"GDX,GDXJ,GOAU,RING",60200029,253358722.89999998,6.16,5129102.444444444,30593515.24984127,1142328193.0194805,0.05269941630423665,11.736951962268817,58.68475981134408
SFR.AX,Sandfire Resources Ltd,3,"BATT,COPX,PICK",20394349,304660894.06000006,20.71,1803617.5238095238,32575993.627460316,466951000.0,0.04367556553043039,11.307468867858374,56.53734433929187
AZY.AX,Antipa Minerals Ltd,1,GDXJ,13563035,6113865.15,0.61,1336780.8253968253,849407.2712698412,662685219.6721312,0.02046678362120468,10.14604244938492,50.730212246924594
CMM.AX,Capricorn Metals Ltd,3,"GDX,GDXJ,GOAU",22930129,213320413.83,13.67,2330227.095238095,29176593.389047623,456787789.0270666,0.05019864705411662,9.840297989349864,49.20148994674931
LOT.AX,Lotus Resources Ltd.,3,"URA,URNJ,URNM",48308143,22384424.42,0.66,5065373.095238095,4999322.954841271,196559000.0,0.2457691736323445,9.536936784659353,47.68468392329677
DVP.AX,DEVELOP GLOBAL LTD,2,"COPX,PICK",11214562,55194508.06,6.81,1199939.2222222222,7100966.85936508,329985475.03671074,0.033985017064015875,9.34594168797253,46.72970843986265
VUL.AX,Vulcan Energy Resources Ltd,3,"LIT,PICK,REMX",21666837,52484940.0,3.3,2326922.238095238,8268614.75984127,237096773.93939394,0.0913839384653054,9.311371323579746,46.55685661789873
SVL.AX,Silver Mines Ltd,1,SILJ,75542965,7740987.77,0.13,8762104.80952381,1413916.486825397,2198900000.0,0.034354888808040385,8.621554597006185,43.10777298503092
EMR.AX,Emerald Resources Nl,3,"GDXJ,GOAU,RING",17048138,73440842.79,6.1,2022215.238095238,11765255.077936508,660775843.9344263,0.025800183460840637,8.43042702816242,42.1521351408121
ILU.AX,Iluka Resources Ltd,2,"PICK,REMX",19819963,108564874.69,8.13,2585989.8253968256,19712918.896349207,431125023.9852398,0.045972657343774516,7.664362328633132,38.32181164316566
DEV.AX,DevEx Resources Ltd,1,URNJ,13133287,2947946.75,0.26,1726122.0952380951,402242.3176190476,455884565.38461536,0.02880836070622365,7.608550424231979,38.04275212115989
NST.AX,Northern Star Resources Ltd,1,GDX,50145624,752195877.32,21.2,7540254.174603174,157286095.86063495,1427259911.981132,0.035134192153126846,6.650389076922469,33.25194538461234
AMI.AX,Aurelia Metals Ltd,1,GDXJ,31220154,7118495.53,0.315,4721327.634920635,1363664.3814285717,1693401831.7460318,0.01843635303489045,6.61257942979524,33.06289714897619
FFM.AX,FIREFLY METALS LTD,2,"COPX,PICK",32241803,44736553.59,1.84,4947828.333333333,9634257.417619048,654883434.7826086,0.04923288830889852,6.516354414074593,32.58177207037296
RSG.AX,Resolute Mining Ltd,3,"GDXJ,GOAU,RING",52326180,42122591.25,1.15,8102232.682539683,10397501.137857137,2137417613.1004367,0.02448102779694892,6.458242073541403,32.29121036770701
OBM.AX,Ora Banda Mining Ltd,2,"GDXJ,RING",42785473,39974354.07,1.3,6997851.73015873,9099257.035396826,1927440000.0,0.022198082949404393,6.114086815473226,30.57043407736613
NXG.AX,NexGen Energy Ltd.,1,URNJ,4233739,44189921.8,14.91,709612.2380952381,11396357.62809524,661909420.9926224,0.006396251308299764,5.966271116411868,29.831355582059334
LTR.AX,Liontown Resources Ltd,5,"BATT,ILIT,LIT,PICK,REMX",130455059,191347751.25,1.9,22047574.04761905,46805189.040476196,3179110000.0,0.041035088122147394,5.91698019556433,29.58490097782165
CYL.AX,Catalyst Metals Ltd,2,"GDXJ,RING",7427595,32748009.78,6.1,1291950.3015873015,7549841.903968253,260945000.00000003,0.028464216597367257,5.749133686392109,28.745668431960542
