asx_ticker,company,n_etfs,etf_pct_float_%,days_to_exit_20pct_adv,adv_$m,mom_1m_%,mom_3m_%,forced_flow_score,not_rallied
DYL.AX,DEEP YELLOW LTD,6,22.0,174.0,10.63,1.3,-3.1,0.943,True
PDN.AX,PALADIN ENERGY LTD,6,20.2,119.0,35.27,-5.9,-2.9,0.936,True
RMS.AX,RAMELIUS RESOURCES LTD,8,6.7,66.0,33.83,0.6,-3.6,0.934,True
KCN.AX,Kingsgate Consolidated Ltd,7,7.3,61.0,8.91,-2.3,36.3,0.918,True
WGX.AX,Westgold Resources Ltd,7,6.0,66.0,23.93,2.0,2.2,0.915,True
BRE.AX,BRAZILIAN RARE EARTHS LTD,4,85.1,2110.0,2.98,-22.1,25.9,0.911,True
BHP.AX,BHP GROUP LTD,13,1.2,34.0,538.63,2.1,28.1,0.89,True
LYC.AX,LYNAS RARE EARTHS LTD,10,2.4,30.0,76.95,0.3,-1.7,0.888,True
VUL.AX,VULCAN ENERGY RESOURCES LTD,5,9.4,48.0,8.27,-4.9,14.2,0.888,True
BOE.AX,BOSS ENERGY LTD,4,19.8,72.0,8.15,-4.1,-21.1,0.886,True
QUB.AX,QUBE HOLDINGS LTD,5,4.6,60.0,33.38,2.2,4.1,0.886,True
BMN.AX,BANNERMAN ENERGY LTD,3,18.6,193.0,3.76,0.3,2.1,0.881,True
SLX.AX,Silex Systems Ltd,3,13.9,178.0,5.22,1.4,12.6,0.88,True
GMG.AX,GOODMAN GROUP UNITS,9,1.3,31.0,130.83,2.3,26.1,0.878,True
RSG.AX,Resolute Mining Ltd,7,3.2,42.0,10.4,-5.7,-5.7,0.878,True
LTR.AX,Liontown Ltd,7,4.3,31.0,46.81,-15.6,30.1,0.872,True
OBM.AX,Ora Banda Mining Ltd,6,3.0,41.0,9.1,0.0,23.8,0.869,True
BGL.AX,Bellevue Gold Ltd,6,2.9,30.0,11.3,-1.3,17.6,0.851,True
VCX.AX,VICINITY CENTRES,9,1.1,22.0,28.75,0.8,9.4,0.85,True
PLS.AX,PLS GROUP LTD,13,3.1,16.0,187.18,-10.2,29.8,0.844,True
EL8.AX,ELEVATE URANIUM LTD,2,11.4,139.0,0.42,-2.0,-2.0,0.839,True
AEE.AX,AURA ENERGY LTD,2,7.4,108.0,0.39,-12.5,-4.5,0.831,True
CBA.AX,COMMONWEALTH BANK OF AUSTRALIA,8,0.7,27.0,372.69,-0.4,-6.2,0.822,True
SVL.AX,SILVER MINES LTD,2,6.3,79.0,1.41,-13.3,-13.3,0.82,True
WBC.AX,WESTPAC BANKING CORPORATION,8,0.7,22.0,206.64,-3.2,-13.0,0.809,True
